cellID cellType sampleID
cell_1 B_cells patient_1
cell_2 B_cells patient_1
cell_3 B_cells patient_1
cell_4 B_cells patient_1
cell_5 B_cells patient_1
cell_6 Cancer_fb patient_1
cell_7 Cancer_fb patient_1
cell_8 Cancer_fb patient_1
cell_9 Cancer_fb patient_1
cell_10 Cancer_fb patient_1
cell_11 Cancer_fb patient_1
cell_12 Cancer_fb patient_1
cell_13 Cancer_fb patient_1
cell_14 Cancer_fb patient_1
cell_15 CD4_tcells patient_1
cell_16 CD4_tcells patient_1
cell_17 CD4_tcells patient_1
cell_18 CD4_tcells patient_1
cell_19 CD4_tcells patient_1
cell_20 CD4_tcells patient_1
cell_21 CD4_tcells patient_1
cell_22 CD4_tcells patient_1
cell_23 CD4_tcells patient_1
cell_24 CD4_tcells patient_1
cell_25 CD4_tcells patient_1
cell_26 CD4_tcells patient_1
cell_27 CD4_tcells patient_1
cell_28 CD4_tcells patient_1
cell_29 CD4_tcells patient_1
cell_30 CD4_tcells patient_1
cell_31 CD4_tcells patient_1
cell_32 CD4_tcells patient_1
cell_33 CD4_tcells patient_1
cell_34 CD4_tcells patient_1
cell_35 CD4_tcells patient_1
cell_36 CD4_tcells patient_1
cell_37 CD4_tcells patient_1
cell_38 CD4_tcells patient_1
cell_39 CD4_tcells patient_1
cell_40 CD4_tcells patient_1
cell_41 CD4_tcells patient_1
cell_42 CD4_tcells patient_1
cell_43 CD4_tcells patient_1
cell_44 CD8_tcells patient_1
cell_45 CD8_tcells patient_1
cell_46 CD8_tcells patient_1
cell_47 CD8_tcells patient_1
cell_48 D_cells patient_1
cell_49 D_cells patient_1
cell_50 D_cells patient_1
cell_51 D_cells patient_1
cell_52 D_cells patient_1
cell_53 D_cells patient_1
cell_54 D_cells patient_1
cell_55 D_cells patient_1
cell_56 D_cells patient_1
cell_57 D_cells patient_1
cell_58 D_cells patient_1
cell_59 D_cells patient_1
cell_60 D_cells patient_1
cell_61 D_cells patient_1
cell_62 D_cells patient_1
cell_63 D_cells patient_1
cell_64 D_cells patient_1
cell_65 D_cells patient_1
cell_66 D_cells patient_1
cell_67 D_cells patient_1
cell_68 D_cells patient_1
cell_69 D_cells patient_1
cell_70 D_cells patient_1
cell_71 D_cells patient_1
cell_72 D_cells patient_1
cell_73 D_cells patient_1
cell_74 D_cells patient_1
cell_75 M_M patient_1
cell_76 M_M patient_1
cell_77 M_M patient_1
cell_78 M_M patient_1
cell_79 M_M patient_1
cell_80 M_M patient_1
cell_81 M_M patient_1
cell_82 M_M patient_1
cell_83 M_M patient_1
cell_84 M_M patient_1
cell_85 M_M patient_1
cell_86 M_M patient_1
cell_87 M_M patient_1
cell_88 M_M patient_1
cell_89 M_M patient_1
cell_90 M_M patient_1
cell_91 M_M patient_1
cell_92 M_M patient_1
cell_93 M_M patient_1
